dim,scenario,capTag,capSeconds,algorithm,runs,successRate,meanLength,stdLength,meanTime,meanFirstSol
3d,悬挑,1,0.784944336,APF-only,30,100,323.969580313845,0,0.00311738333333333,0.00298368333333333
3d,悬挑,1,0.784944336,AB-IRRT*,30,100,249.838129253085,0.322330751809022,0.785744936666667,0.00380844
3d,悬挑,2,1.569888672,RRT*,30,100,262.235277039611,2.89088557975123,1.57031059,0.00778155333333333
3d,悬挑,2,1.569888672,Informed-RRT*,30,100,253.153396663771,1.82048749074543,1.57039834666667,0.00906741
3d,悬挑,2,1.569888672,PRM*,30,100,260.730139495479,2.79353704793359,1.63653478,0.000707693333333333
3d,悬挑,2,1.569888672,FMT*,30,100,258.984615433386,4.77559358268285,1.57161262333333,0.01237048
3d,悬挑,2,1.569888672,BIT*,30,100,254.504853393516,2.95681083305974,1.57340165333333,0.03296486
3d,悬挑,2,1.569888672,RRT#,30,100,259.338777186253,2.3755258583035,1.57090900333333,0.00827135
3d,悬挑,2,1.569888672,APF-only,30,100,323.969580313845,0,0.00321678333333333,0.00308163333333333
3d,悬挑,2,1.569888672,AB-IRRT*,30,100,249.532105702323,0.13954580722226,1.57072255333333,0.00406173
