dim,scenario,algorithm,run,seed,success,length,time,firstSolutionTime,tPlanner,tShortcut,tPre,tOpt,nodes,iterations,turnSum,minClear,straightness,escapes,sideFlips,fallback
2d,一般,APF-only,42,20261945,1,229.358753,0.001379,0.001283,0.001379,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,42,20261945,1,208.722927,0.080411,0.001437,0.078583,0.000111,0.001437,0.078875,1374.0,2000.0,0.612959,0.194480,0.975680,1.0,5.0,0
2d,一般,APF-only,43,20261946,1,229.358753,0.001283,0.001197,0.001283,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,43,20261946,1,208.926797,0.079411,0.001278,0.077818,0.000085,0.001278,0.078049,1366.0,2000.0,0.614250,0.420671,0.974728,1.0,5.0,0
2d,一般,APF-only,44,20261947,1,229.358753,0.001508,0.001394,0.001508,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,44,20261947,1,208.818493,0.089077,0.003334,0.085071,0.000130,0.003334,0.085595,1405.0,2000.0,0.622507,0.172519,0.975233,1.0,5.0,0
2d,一般,APF-only,45,20261948,1,229.358753,0.002846,0.002693,0.002846,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,45,20261948,1,208.611546,0.075038,0.002087,0.072367,0.000163,0.002087,0.072812,1356.0,2000.0,0.585458,0.143936,0.976201,1.0,5.0,0
2d,一般,APF-only,46,20261949,1,229.358753,0.001218,0.001125,0.001218,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,46,20261949,1,209.181378,0.063587,0.001232,0.061953,0.000142,0.001232,0.062257,1328.0,2000.0,0.591097,0.544719,0.973542,1.0,5.0,0
2d,一般,APF-only,47,20261950,1,229.358753,0.002890,0.002711,0.002890,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,47,20261950,1,208.745900,0.074663,0.001834,0.072452,0.000092,0.001834,0.072709,1348.0,2000.0,0.608358,0.219627,0.975572,1.0,5.0,0
2d,一般,APF-only,48,20261951,1,229.358753,0.001312,0.001217,0.001312,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,48,20261951,1,209.049966,0.077317,0.001277,0.075515,0.000261,0.001277,0.075947,1331.0,2000.0,0.603869,0.221834,0.974153,1.0,5.0,0
2d,一般,APF-only,49,20261952,1,229.358753,0.002210,0.002068,0.002210,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,49,20261952,1,208.966032,0.067917,0.001497,0.066087,0.000085,0.001497,0.066325,1331.0,2000.0,0.622045,0.042725,0.974545,1.0,5.0,0
2d,一般,APF-only,50,20261953,1,229.358753,0.001650,0.001557,0.001650,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,50,20261953,1,208.746224,0.074758,0.001116,0.073020,0.000347,0.001116,0.073548,1348.0,2000.0,0.616602,0.129508,0.975571,1.0,5.0,0
