dim,scenario,algorithm,run,firstLen
2d,一般,AB-IRRT*,41,229.358752665851
2d,一般,RRT*,42,222.794931188164
2d,一般,Informed-RRT*,42,222.794931188164
2d,一般,PRM*,42,350.99934430278
2d,一般,FMT*,42,262.050967106643
2d,一般,BIT*,42,215.728749933765
2d,一般,RRT#,42,212.948658307082
2d,一般,AB-IRRT*,42,229.358752665851
2d,一般,RRT*,43,213.620657834805
2d,一般,Informed-RRT*,43,213.620657834805
2d,一般,PRM*,43,224.705907261396
2d,一般,FMT*,43,229.728765018895
2d,一般,BIT*,43,223.616461466457
2d,一般,RRT#,43,213.620657834805
2d,一般,AB-IRRT*,43,229.358752665851
2d,一般,RRT*,44,221.628110749338
2d,一般,Informed-RRT*,44,221.628110749338
2d,一般,PRM*,44,236.513918233173
2d,一般,FMT*,44,245.942701743958
2d,一般,BIT*,44,211.640686162172
2d,一般,RRT#,44,219.94496044142
2d,一般,AB-IRRT*,44,229.358752665851
2d,一般,RRT*,45,219.993225404485
2d,一般,Informed-RRT*,45,219.993225404485
2d,一般,PRM*,45,222.773898726116
2d,一般,FMT*,45,245.157170051278
2d,一般,BIT*,45,219.479612524167
2d,一般,RRT#,45,218.273449885475
2d,一般,AB-IRRT*,45,229.358752665851
2d,一般,RRT*,46,216.385088522306
2d,一般,Informed-RRT*,46,216.385088522306
2d,一般,PRM*,46,285.017909072149
2d,一般,FMT*,46,228.252923143535
2d,一般,BIT*,46,226.599226910474
2d,一般,RRT#,46,216.013931442838
2d,一般,AB-IRRT*,46,229.358752665851
2d,一般,RRT*,47,214.006903481225
2d,一般,Informed-RRT*,47,214.006903481225
2d,一般,PRM*,47,223.69409594704
2d,一般,FMT*,47,221.318298768742
2d,一般,BIT*,47,213.845172040821
2d,一般,RRT#,47,213.663811353416
2d,一般,AB-IRRT*,47,229.358752665851
2d,一般,RRT*,48,213.136414465219
2d,一般,Informed-RRT*,48,213.136414465219
2d,一般,PRM*,48,225.613680573745
2d,一般,FMT*,48,228.333949750434
2d,一般,BIT*,48,217.308300385285
2d,一般,RRT#,48,212.27024964558
2d,一般,AB-IRRT*,48,229.358752665851
2d,一般,RRT*,49,221.237376659467
2d,一般,Informed-RRT*,49,221.237376659467
2d,一般,PRM*,49,277.879060483981
2d,一般,FMT*,49,234.346181221909
2d,一般,BIT*,49,224.727318711945
2d,一般,RRT#,49,219.470692422058
2d,一般,AB-IRRT*,49,229.358752665851
2d,一般,RRT*,50,215.434778338242
2d,一般,Informed-RRT*,50,215.434778338242
2d,一般,PRM*,50,254.405353465012
2d,一般,FMT*,50,220.661633810696
2d,一般,BIT*,50,214.057158169168
2d,一般,RRT#,50,213.206522864881
2d,一般,AB-IRRT*,50,229.358752665851
2d,狭窄,RRT*,1,223.619714210854
2d,狭窄,Informed-RRT*,1,223.619714210854
2d,狭窄,PRM*,1,237.917610716261
2d,狭窄,FMT*,1,281.756073769027
2d,狭窄,RRT#,1,223.371594200322
2d,狭窄,AB-IRRT*,1,212.885243942151
2d,狭窄,RRT*,2,243.563135114556
2d,狭窄,Informed-RRT*,2,243.563135114556
2d,狭窄,PRM*,2,271.853993948652
2d,狭窄,FMT*,2,257.556853905696
2d,狭窄,BIT*,2,259.237397210462
2d,狭窄,RRT#,2,239.448796164871
2d,狭窄,AB-IRRT*,2,212.885243942151
2d,狭窄,RRT*,3,284.918979209426
2d,狭窄,Informed-RRT*,3,284.918979209426
2d,狭窄,PRM*,3,259.491704464809
2d,狭窄,FMT*,3,229.573749364846
2d,狭窄,RRT#,3,274.582565813702
2d,狭窄,AB-IRRT*,3,212.885243942151
2d,狭窄,RRT*,4,229.611827644327
2d,狭窄,Informed-RRT*,4,229.611827644327
2d,狭窄,PRM*,4,242.466945433488
2d,狭窄,FMT*,4,255.269442909948
2d,狭窄,BIT*,4,245.91889412989
2d,狭窄,RRT#,4,229.611827644327
2d,狭窄,AB-IRRT*,4,212.885243942151
2d,狭窄,RRT*,5,250.232467212316
2d,狭窄,Informed-RRT*,5,250.232467212316
2d,狭窄,PRM*,5,248.398339481432
2d,狭窄,FMT*,5,250.330435809447
2d,狭窄,BIT*,5,240.326780191429
2d,狭窄,RRT#,5,244.78160798281
2d,狭窄,AB-IRRT*,5,212.885243942151
2d,狭窄,RRT*,6,223.190792145089
2d,狭窄,Informed-RRT*,6,223.190792145089
2d,狭窄,PRM*,6,265.123851445473
2d,狭窄,FMT*,6,254.9232781424
2d,狭窄,RRT#,6,220.253067880098
2d,狭窄,AB-IRRT*,6,212.885243942151
2d,狭窄,RRT*,7,222.925511071484
2d,狭窄,Informed-RRT*,7,222.925511071484
2d,狭窄,PRM*,7,245.147194724237
2d,狭窄,FMT*,7,258.828326473289
2d,狭窄,BIT*,7,257.708760135268
2d,狭窄,RRT#,7,220.529111645932
2d,狭窄,AB-IRRT*,7,212.885243942151
2d,狭窄,RRT*,8,218.574604428933
2d,狭窄,Informed-RRT*,8,218.574604428933
2d,狭窄,PRM*,8,237.792872145914
2d,狭窄,FMT*,8,235.232672652113
2d,狭窄,RRT#,8,217.536424327269
2d,狭窄,AB-IRRT*,8,212.885243942151
2d,狭窄,RRT*,9,218.16919332068
2d,狭窄,Informed-RRT*,9,218.16919332068
2d,狭窄,PRM*,9,246.469862056142
2d,狭窄,FMT*,9,225.90121973707
2d,狭窄,RRT#,9,217.11586263531
2d,狭窄,AB-IRRT*,9,212.885243942151
2d,狭窄,RRT*,10,225.928564551009
2d,狭窄,Informed-RRT*,10,225.928564551009
2d,狭窄,PRM*,10,420.708067411949
2d,狭窄,FMT*,10,259.328138950394
2d,狭窄,RRT#,10,224.584721246233
2d,狭窄,AB-IRRT*,10,212.885243942151
2d,狭窄,RRT*,11,231.618025412658
2d,狭窄,Informed-RRT*,11,231.618025412658
2d,狭窄,PRM*,11,252.551361284422
2d,狭窄,FMT*,11,246.809527964563
2d,狭窄,BIT*,11,240.800425162908
2d,狭窄,RRT#,11,225.784083885451
2d,狭窄,AB-IRRT*,11,212.885243942151
2d,狭窄,RRT*,12,226.884539918886
2d,狭窄,Informed-RRT*,12,226.884539918886
2d,狭窄,PRM*,12,239.105372649822
2d,狭窄,FMT*,12,241.684377273069
2d,狭窄,RRT#,12,224.406318774227
2d,狭窄,AB-IRRT*,12,212.885243942151
2d,狭窄,RRT*,13,219.590391091825
2d,狭窄,Informed-RRT*,13,219.590391091825
2d,狭窄,PRM*,13,250.877493980156
2d,狭窄,FMT*,13,265.497877580348
2d,狭窄,BIT*,13,254.090194788202
2d,狭窄,RRT#,13,218.510646481456
2d,狭窄,AB-IRRT*,13,212.885243942151
2d,狭窄,RRT*,14,232.805190018329
2d,狭窄,Informed-RRT*,14,232.805190018329
2d,狭窄,PRM*,14,355.52412698363
2d,狭窄,FMT*,14,257.462269761535
2d,狭窄,BIT*,14,247.477787800264
2d,狭窄,RRT#,14,229.49153636285
2d,狭窄,AB-IRRT*,14,212.885243942151
2d,狭窄,RRT*,15,229.553771115288
2d,狭窄,Informed-RRT*,15,229.553771115288
2d,狭窄,PRM*,15,253.632156667947
2d,狭窄,FMT*,15,232.377496775748
2d,狭窄,BIT*,15,260.703140921221
2d,狭窄,RRT#,15,228.340239679576
2d,狭窄,AB-IRRT*,15,212.885243942151
2d,狭窄,RRT*,16,270.289894223958
2d,狭窄,Informed-RRT*,16,270.289894223958
2d,狭窄,PRM*,16,276.973712629064
2d,狭窄,FMT*,16,234.443077148992
2d,狭窄,RRT#,16,269.448556867226
2d,狭窄,AB-IRRT*,16,212.885243942151
2d,狭窄,RRT*,17,258.074958090901
2d,狭窄,Informed-RRT*,17,258.074958090901
2d,狭窄,PRM*,17,279.728537133424
2d,狭窄,FMT*,17,240.142928365033
2d,狭窄,BIT*,17,225.239372914988
2d,狭窄,RRT#,17,257.017725717301
2d,狭窄,AB-IRRT*,17,212.885243942151
2d,狭窄,RRT*,18,227.25887329135
2d,狭窄,Informed-RRT*,18,227.25887329135
2d,狭窄,PRM*,18,244.97721108676
2d,狭窄,FMT*,18,234.503132833463
2d,狭窄,RRT#,18,224.969030035549
2d,狭窄,AB-IRRT*,18,212.885243942151
2d,狭窄,RRT*,19,235.956001602096
2d,狭窄,Informed-RRT*,19,235.956001602096
2d,狭窄,PRM*,19,252.868668496895
2d,狭窄,FMT*,19,253.624289325936
2d,狭窄,BIT*,19,229.940776791933
2d,狭窄,RRT#,19,232.521669412725
2d,狭窄,AB-IRRT*,19,212.885243942151
2d,狭窄,RRT*,20,237.816388698817
2d,狭窄,Informed-RRT*,20,237.816388698817
2d,狭窄,PRM*,20,252.88353787401
2d,狭窄,FMT*,20,251.466393435637
2d,狭窄,RRT#,20,234.671013492477
2d,狭窄,AB-IRRT*,20,212.885243942151
2d,狭窄,RRT*,21,232.8079252543
2d,狭窄,Informed-RRT*,21,232.8079252543
2d,狭窄,PRM*,21,246.219885017776
2d,狭窄,FMT*,21,227.945513244323
2d,狭窄,RRT#,21,227.844568939101
2d,狭窄,AB-IRRT*,21,212.885243942151
2d,狭窄,RRT*,22,223.963082238568
2d,狭窄,Informed-RRT*,22,223.963082238568
2d,狭窄,PRM*,22,232.215785507808
2d,狭窄,FMT*,22,259.054478404217
2d,狭窄,RRT#,22,223.065980597321
2d,狭窄,AB-IRRT*,22,212.885243942151
2d,狭窄,RRT*,23,221.265425028667
2d,狭窄,Informed-RRT*,23,221.265425028667
2d,狭窄,PRM*,23,243.886461581476
2d,狭窄,FMT*,23,242.212666575332
2d,狭窄,RRT#,23,219.014150264562
2d,狭窄,AB-IRRT*,23,212.885243942151
2d,狭窄,RRT*,24,226.832423739023
2d,狭窄,Informed-RRT*,24,226.832423739023
2d,狭窄,PRM*,24,241.055994874601
2d,狭窄,FMT*,24,230.265695261573
2d,狭窄,RRT#,24,225.932500463894
