dim,scenario,seed,margin,reactiveOK,fallback,kind,iters,escapes,sideFlips,cycles,time,length
3d,一般,20261912,0,1,0,reactive,118,5,11,11,0.0286,716.427
3d,一般,20261913,0,1,0,reactive,118,5,11,11,0.0322,716.427
3d,一般,20261914,0,1,0,reactive,118,5,11,11,0.0132,716.427
3d,一般,20261915,0,1,0,reactive,118,5,11,11,0.0219,716.427
3d,一般,20261916,0,1,0,reactive,118,5,11,11,0.0363,716.427
3d,一般,20261917,0,1,0,reactive,118,5,11,11,0.0247,716.427
3d,一般,20261918,0,1,0,reactive,118,5,11,11,0.0177,716.427
3d,一般,20261919,0,1,0,reactive,118,5,11,11,0.0268,716.427
3d,一般,20261920,0,1,0,reactive,118,5,11,11,0.0355,716.427
3d,狭窄,20261901,0,1,0,reactive,54,0,6,6,0.0091,357.058
3d,狭窄,20261902,0,1,0,reactive,54,0,6,6,0.0088,357.058
3d,狭窄,20261903,0,1,0,reactive,54,0,6,6,0.0055,357.058
3d,狭窄,20261904,0,1,0,reactive,54,0,6,6,0.0048,357.058
3d,狭窄,20261905,0,1,0,reactive,54,0,6,6,0.0093,357.058
3d,狭窄,20261906,0,1,0,reactive,54,0,6,6,0.0100,357.058
3d,狭窄,20261907,0,1,0,reactive,54,0,6,6,0.0057,357.058
3d,狭窄,20261908,0,1,0,reactive,54,0,6,6,0.0079,357.058
3d,狭窄,20261909,0,1,0,reactive,54,0,6,6,0.0114,357.058
3d,狭窄,20261910,0,1,0,reactive,54,0,6,6,0.0044,357.058
3d,狭窄,20261911,0,1,0,reactive,54,0,6,6,0.0044,357.058
3d,狭窄,20261912,0,1,0,reactive,54,0,6,6,0.0052,357.058
3d,狭窄,20261913,0,1,0,reactive,54,0,6,6,0.0099,357.058
3d,狭窄,20261914,0,1,0,reactive,54,0,6,6,0.0051,357.058
3d,狭窄,20261915,0,1,0,reactive,54,0,6,6,0.0042,357.058
3d,狭窄,20261916,0,1,0,reactive,54,0,6,6,0.0042,357.058
3d,狭窄,20261917,0,1,0,reactive,54,0,6,6,0.0044,357.058
3d,狭窄,20261918,0,1,0,reactive,54,0,6,6,0.0057,357.058
3d,狭窄,20261919,0,1,0,reactive,54,0,6,6,0.0075,357.058
3d,狭窄,20261920,0,1,0,reactive,54,0,6,6,0.0125,357.058
3d,悬空,20261901,0,1,0,reactive,54,1,8,8,0.0092,372.304
3d,悬空,20261902,0,1,0,reactive,54,1,8,8,0.0086,372.304
3d,悬空,20261903,0,1,0,reactive,54,1,8,8,0.0075,372.304
3d,悬空,20261904,0,1,0,reactive,54,1,8,8,0.0080,372.304
3d,悬空,20261905,0,1,0,reactive,54,1,8,8,0.0048,372.304
3d,悬空,20261906,0,1,0,reactive,54,1,8,8,0.0041,372.304
3d,悬空,20261907,0,1,0,reactive,54,1,8,8,0.0089,372.304
