variant,scenario,run,seed,success,length,time,firstSolutionTime,tPre,tOpt,nodes,turnSum,minClear,escapes,sideFlips,fallback
APF-only,一般,14,20261917,1,442.385244950109,0.0074657,0.0073025,0.0074657,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,14,20261917,1,294.744613875462,0.4331533,0.0151542,0,0.4331533,4174,12.6721559874165,0.183335289413625,NaN,NaN,0
w/o seed shortcutting,一般,14,20261917,1,266.794961686121,0.4894824,0.0075016,0.0075016,0.4818339,4180,2.92697347789328,1.20387741218916,0,5,0
w/o ellipse seeding,一般,14,20261917,1,266.741781684759,0.4860965,0.0061067,0.0061067,0.4798779,4251,3.65954902671117,0.410681651579476,0,5,0
w/o path-bias sampling,一般,14,20261917,1,265.264025206311,0.4400268,0.0049912,0.0049912,0.4349305,4021,3.24195022214223,0.676730324368546,0,5,0
w/o dynamic rewiring,一般,14,20261917,1,273.136727800221,0.4990991,0.0048451,0.0048451,0.4941474,4234,6.40010146690466,0.116495443943593,0,5,0
AB-IRRT* (full),一般,14,20261917,1,265.545164500904,0.4818475,0.007793,0.007793,0.473842,4029,2.39356872176128,0.387950950565724,0,5,0
APF-only,一般,15,20261918,1,442.385244950109,0.0045616,0.0044688,0.0045616,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,15,20261918,1,279.648298308315,0.482245,0.0109097,0,0.482245,4360,10.5247761239384,0.696691666113789,NaN,NaN,0
w/o seed shortcutting,一般,15,20261918,1,267.449508650993,0.4782749,0.0039672,0.0039672,0.4742061,4233,3.5928909954642,0.648935798580046,0,5,0
w/o ellipse seeding,一般,15,20261918,1,277.5301625136,0.4741843,0.0051402,0.0051402,0.4689403,4371,8.29917407726299,0.622439201206545,0,5,0
w/o path-bias sampling,一般,15,20261918,1,265.979067286292,0.4193404,0.0047271,0.0047271,0.4145114,3849,3.0689911614069,0.165735181016413,0,5,0
