dim,scenario,capTag,capSeconds,algorithm,run,seed,success,length,time,firstSolutionTime
2d,一般,1,0.09042529,Informed-RRT*,20,20261923,1,209.669800894639,0.0912871,0.0054754
2d,一般,1,0.09042529,PRM*,20,20261923,1,211.0401151774,0.0925283,0.0021859
2d,一般,1,0.09042529,FMT*,20,20261923,1,215.134367393329,0.0917143,0.0240019
2d,一般,1,0.09042529,BIT*,20,20261923,1,209.549641721003,0.0914932,0.0315894
2d,一般,1,0.09042529,RRT#,20,20261923,1,209.485308842408,0.0908724,0.0050555
2d,一般,1,0.09042529,APF-only,20,20261923,1,229.358752665851,0.001415,0.0013178
2d,一般,1,0.09042529,AB-IRRT*,20,20261923,1,209.708537943915,0.0908644,0.0013028
2d,一般,1,0.09042529,RRT*,21,20261924,1,209.858380616832,0.0909011,0.0078727
2d,一般,1,0.09042529,Informed-RRT*,21,20261924,1,209.404072761315,0.090802,0.0078844
2d,一般,1,0.09042529,PRM*,21,20261924,1,212.927948227672,0.0924468,0.0004742
2d,一般,1,0.09042529,FMT*,21,20261924,1,218.448219543329,0.0910372,0.0054935
2d,一般,1,0.09042529,BIT*,21,20261924,1,210.966563598571,0.0915059,0.0320861
2d,一般,1,0.09042529,RRT#,21,20261924,1,209.731605951247,0.0909927,0.0091713
2d,一般,1,0.09042529,APF-only,21,20261924,1,229.358752665851,0.001582,0.0014628
2d,一般,1,0.09042529,AB-IRRT*,21,20261924,1,209.43994373894,0.0908616,0.0014751
2d,一般,1,0.09042529,RRT*,22,20261925,1,211.245009265355,0.0906843,0.0081435
2d,一般,1,0.09042529,Informed-RRT*,22,20261925,1,210.761296258773,0.0909696,0.0072869
2d,一般,1,0.09042529,PRM*,22,20261925,1,213.41880577994,0.0922751,0.0005589
2d,一般,1,0.09042529,FMT*,22,20261925,1,218.523503627495,0.0909717,0.0242407
2d,一般,1,0.09042529,BIT*,22,20261925,1,212.246328381731,0.0912095,0.070143
2d,一般,1,0.09042529,RRT#,22,20261925,1,209.841986351795,0.0909343,0.0086319
2d,一般,1,0.09042529,APF-only,22,20261925,1,229.358752665851,0.0016028,0.0014993
2d,一般,1,0.09042529,AB-IRRT*,22,20261925,1,208.785584960663,0.0908212,0.0015595
2d,一般,1,0.09042529,RRT*,23,20261926,1,210.309776956813,0.0907256,0.0076426
2d,一般,1,0.09042529,Informed-RRT*,23,20261926,1,211.636636467999,0.0909129,0.0093218
2d,一般,1,0.09042529,PRM*,23,20261926,1,216.666878777128,0.0927157,0.0016495
2d,一般,1,0.09042529,FMT*,23,20261926,1,215.123429578885,0.0909205,0.0233855
2d,一般,1,0.09042529,BIT*,23,20261926,1,213.08117961972,0.0915697,0.0911653
2d,一般,1,0.09042529,RRT#,23,20261926,1,209.643653782688,0.0909961,0.0112739
2d,一般,1,0.09042529,APF-only,23,20261926,1,229.358752665851,0.0019623,0.0018394
2d,一般,1,0.09042529,AB-IRRT*,23,20261926,1,209.10674690684,0.091098,0.0016644
2d,一般,1,0.09042529,RRT*,24,20261927,1,215.25199615797,0.0907384,0.0152461
2d,一般,1,0.09042529,Informed-RRT*,24,20261927,1,213.364071562268,0.0907889,0.0164812
2d,一般,1,0.09042529,PRM*,24,20261927,1,216.021436403214,0.0923371,0.000625
2d,一般,1,0.09042529,FMT*,24,20261927,1,211.653019668565,0.0908789,0.0101998
2d,一般,1,0.09042529,BIT*,24,20261927,1,210.896529873984,0.0916452,0.0347633
2d,一般,1,0.09042529,RRT#,24,20261927,1,212.765464137525,0.091103,0.017536
2d,一般,1,0.09042529,APF-only,24,20261927,1,229.358752665851,0.0020748,0.001918
